registration_number,title_en,start_date,end_date,status,owner_org
C-000200,Share your thoughts: Proposed changes to the Common Names for Ingredients and Components Document for milk ingredients and modified milk ingredients,2025-07-28,2025-08-28,P,cfia-acia
C202503,"REGDOC-2.6.4, Chemistry Control for Reactor Facilities",2025-07-15,2025-07-28,P,cnsc-ccsn
DFO20250506,Resilient and Adaptive Fisheries Strategy,2025-07-09,2025-08-20,P,dfo-mpo
C-000190,IPPC Member consultation on draft International Standards for Phytosanitary Measures and specifications,2025-07-01,2025-09-30,P,cfia-acia
C-000192,Stakeholder Consultation on the Modernization of the Canadian Shellfish Sanitation Program (CSSP),2025-07-01,2025-12-01,P,cfia-acia
DFO20250606-02,Management plan for the Channel Darter - draft version for 60-day public consultation,2025-06-30,2025-08-30,P,dfo-mpo
C-003257,Proposed Coal Mining Effluent Regulations,2025-06-28,2025-08-27,P,ec
C-000200,Share your thoughts: Proposed changes to the Common Names for Ingredients and Components Document for milk ingredients and modified milk ingredients,2025-06-25,2025-08-25,P,cfia-acia
C-0033301,Share your thoughts: Participate in the risk assessment process for four lines of Gene Edited Pigs,2025-06-20,2025-07-20,P,ec
C-100130,Consultations with Canadians with Disabilities on Accessibility (2025),2025-06-17,2025-06-26,P,cra-arc
C-2025-003,Accesibility Internal Questionnaire,2025-06-16,2025-07-04,P,cbsa-asfc
C-2025-002,Acessibility External Questionnaire,2025-06-16,2025-07-13,P,cbsa-asfc
DFO20250606-03,Management plan for the Cutlip Minnow - draft version for 60-day public consultation,2025-06-15,2025-08-15,P,dfo-mpo
1071,Changing the Saskatoon International Airport Zoning Regulations,2025-06-11,2025-08-11,P,tc
C-0245,"Consultation on a Technical and Policy, [Licensing] Framework for [Remotely Piloted Aircraft System] Operation in Licensed Spectrum",2025-06-06,2026-06-06,P,ic
C-0000011,Accessibility Standards Canada: 2026 to 2028 Accessibility Plan,2025-06-02,2025-06-23,P,casdo-ocena
C-00000117,"Consultation on Efficiencies, Legislative Amendments, and the Ongoing Impact of the COVID-19 Pandemic",2025-06-01,2025-03-31,P,jus
C-00000117,"Consultation on Efficiencies, Legislative Amendments, and the Ongoing Impact of the COVID-19 Pandemic",2025-06-01,2026-03-31,P,jus
1101,Leased Aircraft Standard Amendment Package,2025-05-27,2025-06-26,P,tc
1098,Commercial Air Services Standards Omnibus Package,2025-05-20,2025-07-20,P,tc
1098,Commercial Air Services Standards Omnibus Package,2025-05-20,2025-07-20,P,tc
1096,Let’s Talk Transportation: Environmental Effects Evaluation of the Lac-Mégantic Railway Bypass Project,2025-05-16,2025-06-30,P,tc
C-003215,Canada Water Act review - engagement,2025-04-01,2026-06-01,P,ec
C-2025-001,Administrative Monetary Penalty System Review,2025-04-01,2025-05-30,P,cbsa-asfc
C-000188,Public consultation on proposed regulatory changes in Canada Gazette Part I amending the Plant Breeders' Rights Regulations,2025-03-29,2025-06-07,P,cfia-acia
C-000186,Share your thoughts: Proposed amendments to the Tables of Permissible Claims for Feed Labels,2025-03-15,2025-04-15,P,cfia-acia
697,Fee Modernisation Initiative for Transport Canada's Owned and Operated Ports,2025-03-01,2025-06-01,P,tc
C-0185,"Amendments to Directive No 11R3, Surplus Income Directive",2025-02-17,2025-03-18,P,ic
1071,Updating the Saskatoon John G Diefenbaker International Airport Zoning Regulations,2025-01-30,2025-03-31,P,tc
C-0246,Proposed Modification to the Conditions of Licence on Space Debris Mitigation,2024-12-10,2025-12-10,P,ic
C-INA0109,TRC Call to Action 66: Moving from Pilot Project to Long-Term Implementation,2024-11-01,2025-06-30,P,aandc-aadnc
C-011125,Action Plan for Black Public Servants: Understanding the needs and insights of Black public servants of the Government of Canada on mental health and career and leadership development programs in the workplace.,2024-09-30,2024-11-30,P,tbs-sct
DFO20240709-01,"Recovery Strategy for the Mountain Sucker (Catostomus platyrhynchus), Milk River populations, in Canada [Proposed].",2024-09-23,2025-11-09,P,dfo-mpo
