registration_number,title_en,start_date,end_date,status,owner_org
DFO20261231-01,"Areas of Interest, Northern Shelf Bioregion (NSB) - Marine Protected Area Network",2022-09-06,2028-12-31,C,dfo-mpo
C-2025-005,Northern Border Working Group,2025-05-30,2026-05-30,C,cbsa-asfc
C-0000095,"Consultations are being held with the external Steering Group, composed of experts and leaders from Black communities across Canada, appointed to advise the Government of Canada on the implementation of Canada’s Black Justice Strategy. Additional meetings are taking place with the FPT Working Group on Black Justice and the CCSO Youth Justice Sub-committee on CBJS.",2023-04-17,2026-03-30,C,jus
DFO20251107,Great Slave Lake Integrated Fisheries Management Plan,2025-11-25,2026-03-01,C,dfo-mpo
